Number,Date,Time,Shower,Shower_Speed_kms,Rmag
1,2010/10/14,04:06:24.374,False,,9.64268215815794
2,2010/10/14,04:24:02.378,False,,
3,2010/10/14,04:28:08.324,False,,
4,2010/10/14,04:39:07.949,False,,8.612708907985667
5,2010/11/13,02:41:12.981,True,29.0,10.59076527727347
6,2010/11/13,02:49:57.405,True,29.0,
7,2010/11/13,02:54:58.505,True,29.0,
8,2010/11/13,02:54:58.539,True,29.0,
9,2010/11/13,03:58:43.325,True,29.0,
10,2010/11/13,04:27:09.756,True,29.0,
11,2010/11/13,04:30:38.632,True,29.0,
12,2010/11/13,04:35:51.311,True,29.0,
13,2010/11/13,04:49:45.930,True,29.0,9.137430645971385
14,2010/11/13,04:53:20.711,True,29.0,
15,2010/11/13,05:00:09.119,True,29.0,
16,2010/11/13,05:07:00.877,True,29.0,
17,2010/11/13,05:24:47.109,True,29.0,
18,2010/12/14,04:08:30.992,True,35.0,6.378058047953504
19,2010/12/14,04:31:30.393,True,35.0,
20,2010/12/14,05:23:56.354,True,35.0,4.386334232603399
21,2010/12/14,06:27:47.531,True,35.0,5.389186931329373
22,2011/02/10,04:53:58.718,False,,
23,2011/02/10,05:26:10.255,False,,
24,2011/03/10,04:38:51.512,False,,
25,2011/03/10,05:04:36.213,False,,3.753889616145841
26,2011/05/09,04:56:45.260,True,43.0,
27,2011/06/24,10:31:56.195,False,,
28,2011/06/24,10:54:05.012,False,,
29,2011/06/25,11:03:26.456,False,,7.452373883647439
30,2011/06/25,11:09:16.050,False,,7.452373883647439
31,2011/08/23,10:28:02.232,False,,
32,2011/08/23,10:32:16.886,False,,6.339095666609418
33,2011/08/23,10:33:30.660,False,,
34,2011/08/23,10:33:41.671,False,,
35,2011/08/23,10:43:42.991,False,,
36,2011/08/23,11:21:58.151,False,,
37,2011/08/24,11:28:07.005,False,,7.846185120700727
38,2011/08/24,11:36:30.341,False,,8.413583474841888
39,2011/08/24,11:52:31.579,False,,
40,2011/08/24,11:53:33.207,False,,
41,2011/08/24,11:58:33.674,False,,
42,2011/09/22,10:47:59.309,False,,8.29321353409094
43,2011/09/22,11:21:20.402,False,,
44,2011/09/23,11:03:59.759,False,,
45,2011/09/23,11:05:20.072,False,,
46,2011/09/23,11:26:27.605,False,,
47,2011/09/23,11:49:14.920,False,,
48,2011/09/23,12:00:13.412,False,,7.933426071538194
49,2011/10/22,11:18:30.793,True,66.0,
50,2011/10/22,11:49:10.598,True,66.0,
51,2011/10/22,11:50:52.700,True,66.0,8.100858962911355
52,2011/10/22,12:35:21.899,True,66.0,
53,2011/10/23,11:56:16.940,True,62.0,
54,2011/10/23,12:01:59.115,True,62.0,
55,2011/10/23,12:09:09.111,True,62.0,
56,2011/10/31,02:22:10.945,False,,7.805509030704591
57,2011/10/31,02:22:57.559,False,,6.50635474578468
58,2011/10/31,02:25:02.884,False,,
59,2011/10/31,03:10:35.491,False,,
60,2011/11/01,03:09:49.287,False,,
61,2011/11/01,03:10:36.935,False,,6.747814958948395
62,2011/11/01,03:31:19.387,False,,6.082433411964209
63,2011/11/01,03:42:30.791,False,,
64,2011/11/01,03:50:18.925,False,,
65,2011/11/01,03:51:30.030,False,,
66,2011/11/01,03:53:43.396,False,,
67,2011/11/01,03:59:29.409,False,,
68,2011/11/02,02:50:17.167,False,,7.870454905858121
69,2011/11/02,02:50:58.375,False,,
70,2011/11/02,03:45:20.934,False,,7.516519706143327
71,2011/11/02,04:23:45.689,False,,8.260963885609495
72,2011/11/02,04:32:07.057,False,,
73,2011/11/30,01:54:13.100,False,,
74,2011/11/30,01:54:14.702,False,,
75,2011/11/30,02:03:42.702,False,,
76,2011/11/30,02:16:40.273,False,,
77,2011/11/30,02:26:47.580,False,,
78,2011/11/30,02:27:44.370,False,,
79,2011/11/30,02:51:00.020,False,,
80,2011/11/30,02:59:46.846,False,,
81,2011/11/30,03:18:58.495,False,,
82,2012/02/25,02:31:01.094,False,,
83,2012/02/25,02:36:56.310,False,,
84,2012/02/25,02:37:47.295,False,,
85,2012/02/25,02:53:11.018,False,,
86,2012/02/25,02:55:17.578,False,,
87,2012/02/25,02:55:32.927,False,,
88,2012/03/27,02:58:25.700,False,,
89,2012/03/27,03:04:33.800,False,,9.805510645973154
90,2012/03/27,03:26:06.300,False,,
91,2012/03/27,03:36:20.400,False,,
92,2012/03/27,03:40:47.400,False,,9.971136406706623
93,2012/03/27,03:46:42.700,False,,
94,2012/03/27,04:06:39.600,False,,
95,2012/03/28,03:49:18.500,False,,6.439097686878882
96,2012/03/28,03:59:43.500,False,,
97,2012/03/28,05:15:13.800,False,,
98,2012/03/28,05:23:17.400,False,,6.313017044064274
99,2012/03/28,05:40:47.000,False,,4.522421293948245
100,2012/03/28,05:46:14.900,False,,
101,2012/03/29,03:58:46.700,False,,8.031663977114038
102,2012/03/29,04:00:31.800,False,,
103,2012/03/29,04:41:43.763,False,,
104,2012/03/29,04:42:41.721,False,,
105,2012/03/29,04:45:13.506,False,,7.76920224200262
106,2012/03/29,05:11:56.570,False,,
107,2012/03/29,05:32:36.008,False,,
108,2012/03/29,05:45:29.950,False,,
109,2012/03/29,05:50:13.132,False,,5.431934817141622
110,2012/03/29,05:50:29.682,False,,
111,2012/03/29,05:54:12.872,False,,
112,2012/03/30,03:43:36.700,False,,
113,2012/03/30,04:10:37.100,False,,8.591347139370338
114,2012/03/30,04:33:56.100,False,,
