 Date,JD,RA,DEC,Dist_AU
 2023-Jan-13 00:00,2459957.500000000,00 11 10.11,-00 08 31.7,5.19494111056855
 2023-Jan-13 08:00,2459957.833333333,00 11 20.95,-00 07 15.9,5.19997177912646
 2023-Jan-13 16:00,2459958.166666667,00 11 32.09,-00 05 59.7,5.20496787236383
 2023-Jan-14 00:00,2459958.500000000,00 11 43.10,-00 04 43.1,5.20989247040860
 2023-Jan-14 08:00,2459958.833333333,00 11 54.11,-00 03 26.2,5.21489663385965
 2023-Jan-14 16:00,2459959.166666667,00 12 05.41,-00 02 09.0,5.21986489932515
 2023-Jan-15 00:00,2459959.500000000,00 12 16.59,-00 00 51.4,5.22476265825765
 2023-Jan-15 08:00,2459959.833333333,00 12 27.77,+00 00 26.5,5.22973994820491
 2023-Jan-15 16:00,2459960.166666667,00 12 39.24,+00 01 44.7,5.23467942883905
 2023-Jan-16 00:00,2459960.500000000,00 12 50.58,+00 03 03.3,5.23954884418811
 2023-Jan-16 08:00,2459960.833333333,00 13 01.92,+00 04 22.2,5.24449784807888
 2023-Jan-16 16:00,2459961.166666667,00 13 13.55,+00 05 41.4,5.24940771762409
 2023-Jan-17 00:00,2459961.500000000,00 13 25.05,+00 07 01.0,5.25424825298526
 2023-Jan-17 08:00,2459961.833333333,00 13 36.56,+00 08 20.8,5.25916803540460
 2023-Jan-17 16:00,2459962.166666667,00 13 48.34,+00 09 41.0,5.26404682568587
 2023-Jan-18 00:00,2459962.500000000,00 14 00.00,+00 11 01.6,5.26885703436619
 2023-Jan-18 08:00,2459962.833333333,00 14 11.67,+00 12 22.4,5.27374671746434
 2023-Jan-18 16:00,2459963.166666667,00 14 23.62,+00 13 43.6,5.27859400797155
 2023-Jan-19 00:00,2459963.500000000,00 14 35.43,+00 15 05.1,5.28337319784199
 2023-Jan-19 08:00,2459963.833333333,00 14 47.26,+00 16 26.9,5.28823133485856
 2023-Jan-19 16:00,2459964.166666667,00 14 59.37,+00 17 49.0,5.29304531254371
 2023-Jan-20 00:00,2459964.500000000,00 15 11.33,+00 19 11.5,5.29779202397564
 2023-Jan-20 08:00,2459964.833333333,00 15 23.32,+00 20 34.2,5.30261769442373
 2023-Jan-20 16:00,2459965.166666667,00 15 35.58,+00 21 57.3,5.30739750010119
 2023-Jan-21 00:00,2459965.500000000,00 15 47.70,+00 23 20.7,5.31211039485353
 2023-Jan-21 08:00,2459965.833333333,00 15 59.84,+00 24 44.4,5.31690190597395
 2023-Jan-21 16:00,2459966.166666667,00 16 12.25,+00 26 08.3,5.32164620684085
 2023-Jan-22 00:00,2459966.500000000,00 16 24.52,+00 27 32.6,5.32632467774737
 2023-Jan-22 08:00,2459966.833333333,00 16 36.81,+00 28 57.2,5.33108168495750
 2023-Jan-22 16:00,2459967.166666667,00 16 49.37,+00 30 22.1,5.33578968696500
 2023-Jan-23 00:00,2459967.500000000,00 17 01.78,+00 31 47.3,5.34043231719831
 2023-Jan-23 08:00,2459967.833333333,00 17 14.22,+00 33 12.7,5.34515332846526
 2023-Jan-23 16:00,2459968.166666667,00 17 26.93,+00 34 38.5,5.34982409198803
 2023-Jan-24 00:00,2459968.500000000,00 17 39.49,+00 36 04.5,5.35443038527854
 2023-Jan-24 08:00,2459968.833333333,00 17 52.08,+00 37 30.9,5.35911467119382
 2023-Jan-24 16:00,2459969.166666667,00 18 04.93,+00 38 57.5,5.36374691984433
 2023-Jan-25 00:00,2459969.500000000,00 18 17.63,+00 40 24.4,5.36831546575913
 2023-Jan-25 08:00,2459969.833333333,00 18 30.36,+00 41 51.6,5.37296211585010
 2023-Jan-25 16:00,2459970.166666667,00 18 43.35,+00 43 19.0,5.37755553782104
 2023-Jan-26 00:00,2459970.500000000,00 18 56.19,+00 44 46.8,5.38208596965008
 2023-Jan-26 08:00,2459970.833333333,00 19 09.07,+00 46 14.8,5.38669392775853
